Country,y,f,Total annual production (GWh),Source,Scenario,Carbon Price
MAR,2026.0,BIO,2639.5555576672,Biomass,Bottom-up,High
MAR,2026.0,COA,2902.1388912106,Coal,Bottom-up,High
MAR,2026.0,HFO,3837.1944475142,Heavy Fuel Oil,Bottom-up,High
MAR,2026.0,HYD,9446.1388964458,Hydropower,Bottom-up,High
MAR,2026.0,Imports (DZA),5991.8333381268,Imports (DZA),Bottom-up,High
MAR,2026.0,Imports (ESP),16771.6389023062,Imports (ESP),Bottom-up,High
MAR,2026.0,LFO,303.3611113538,Light Fuel Oil,Bottom-up,High
MAR,2026.0,NGA,32489.86113710301,Natural Gas,Bottom-up,High
MAR,2026.0,SOL,21716.9722395958,Solar,Bottom-up,High
MAR,2026.0,WIN,2688.9166688178,Wind,Bottom-up,High
MAR,2027.0,BIO,3079.5000024636,Biomass,Bottom-up,High
MAR,2027.0,COA,2720.7500021766004,Coal,Bottom-up,High
MAR,2027.0,HFO,2250.3333351336,Heavy Fuel Oil,Bottom-up,High
MAR,2027.0,HYD,9446.1388964458,Hydropower,Bottom-up,High
MAR,2027.0,Imports (DZA),5985.694449233,Imports (DZA),Bottom-up,High
MAR,2027.0,Imports (ESP),17476.1944584254,Imports (ESP),Bottom-up,High
MAR,2027.0,LFO,217.8333335076,Light Fuel Oil,Bottom-up,High
MAR,2027.0,NGA,35727.388917470795,Natural Gas,Bottom-up,High
MAR,2027.0,SOL,24159.027797105,Solar,Bottom-up,High
MAR,2027.0,WIN,2628.6388909918005,Wind,Bottom-up,High
MAR,2028.0,BIO,3519.4166694822,Biomass,Bottom-up,High
MAR,2028.0,COA,2539.3611131426,Coal,Bottom-up,High
MAR,2028.0,HFO,1469.3055567310005,Heavy Fuel Oil,Bottom-up,High
MAR,2028.0,HYD,9446.1388964458,Hydropower,Bottom-up,High
MAR,2028.0,Imports (DZA),5414.555559887201,Imports (DZA),Bottom-up,High
MAR,2028.0,Imports (ESP),17476.1944584254,Imports (ESP),Bottom-up,High
MAR,2028.0,LFO,132.2777778836,Light Fuel Oil,Bottom-up,High
MAR,2028.0,NGA,37993.9722526174,Natural Gas,Bottom-up,High
MAR,2028.0,SOL,26601.0277990586,Solar,Bottom-up,High
MAR,2028.0,WIN,2568.3333353880003,Wind,Bottom-up,High
MAR,2029.0,BIO,3959.3333365008,Biomass,Bottom-up,High
MAR,2029.0,COA,2357.9722241086,Coal,Bottom-up,High
MAR,2029.0,HFO,1185.138889837,Heavy Fuel Oil,Bottom-up,High
MAR,2029.0,HYD,9446.1388964458,Hydropower,Bottom-up,High
MAR,2029.0,Imports (DZA),5003.3611151138,Imports (DZA),Bottom-up,High
MAR,2029.0,Imports (ESP),17476.1944584254,Imports (ESP),Bottom-up,High
MAR,2029.0,LFO,121.2777778748,Light Fuel Oil,Bottom-up,High
MAR,2029.0,NGA,39529.1944760678,Natural Gas,Bottom-up,High
MAR,2029.0,SOL,29043.0833565678,Solar,Bottom-up,High
MAR,2029.0,WIN,2508.0277797842,Wind,Bottom-up,High
