Country,y,f,Total annual demand (GWh),Demand type,Scenario,Carbon Price
SWZ,2029.0,EL3U,684.9444449924001,New electrified,Bottom-up,High
SWZ,2030.0,EL3E,6838.194449915,Current electrified,Bottom-up,High
SWZ,2030.0,EL3U,716.3888894620001,New electrified,Bottom-up,High
SWZ,2021.0,MOZEL1,1426.8333344748,Exports (MOZ),Bottom-up,High
SWZ,2021.0,ZAFEL1,12066.888898542402,Exports (ZAF),Bottom-up,High
SWZ,2022.0,MOZEL1,910.3888896172,Exports (MOZ),Bottom-up,High
SWZ,2022.0,ZAFEL1,12066.888898542402,Exports (ZAF),Bottom-up,High
SWZ,2023.0,MOZEL1,348.8055558346,Exports (MOZ),Bottom-up,High
SWZ,2023.0,ZAFEL1,12066.888898542402,Exports (ZAF),Bottom-up,High
SWZ,2024.0,MOZEL1,167.7222223564,Exports (MOZ),Bottom-up,High
SWZ,2024.0,ZAFEL1,12066.888898542402,Exports (ZAF),Bottom-up,High
SWZ,2025.0,ZAFEL1,11959.4722317898,Exports (ZAF),Bottom-up,High
SWZ,2026.0,ZAFEL1,11681.8611204566,Exports (ZAF),Bottom-up,High
SWZ,2027.0,ZAFEL1,11619.6111204068,Exports (ZAF),Bottom-up,High
SWZ,2028.0,ZAFEL1,11595.8888981656,Exports (ZAF),Bottom-up,High
SWZ,2029.0,ZAFEL1,11597.1944537222,Exports (ZAF),Bottom-up,High
SWZ,2030.0,MOZEL1,59.97222227020001,Exports (MOZ),Bottom-up,High
SWZ,2030.0,ZAFEL1,12066.0277874306,Exports (ZAF),Bottom-up,High
SWZ,2020.0,EL3E,1985.1944460326,Current electrified,Top-down high,No
SWZ,2021.0,EL3E,2318.9166685218,Current electrified,Top-down high,No
SWZ,2021.0,EL3U,91.66666674,New electrified,Top-down high,No
SWZ,2022.0,EL3E,2691.8611132646,Current electrified,Top-down high,No
SWZ,2022.0,EL3U,183.33333348,New electrified,Top-down high,No
SWZ,2023.0,EL3E,3107.6666691528003,Current electrified,Top-down high,No
SWZ,2023.0,EL3U,275.00000022,New electrified,Top-down high,No
SWZ,2024.0,EL3E,3571.4166695238,Current electrified,Top-down high,No
SWZ,2024.0,EL3U,366.66666696,New electrified,Top-down high,No
SWZ,2025.0,EL3E,4010.3611143194,Current electrified,Top-down high,No
SWZ,2025.0,EL3U,458.3333337,New electrified,Top-down high,No
SWZ,2026.0,EL3E,4492.0000035936,Current electrified,Top-down high,No
SWZ,2026.0,EL3U,550.00000044,New electrified,Top-down high,No
SWZ,2027.0,EL3E,5018.861115126199,Current electrified,Top-down high,No
SWZ,2027.0,EL3U,580.7500004646,New electrified,Top-down high,No
SWZ,2028.0,EL3E,5594.2500044754,Current electrified,Top-down high,No
SWZ,2028.0,EL3U,611.5277782669999,New electrified,Top-down high,No
SWZ,2029.0,EL3E,6221.722227199601,Current electrified,Top-down high,No
SWZ,2029.0,EL3U,642.3055560694,New electrified,Top-down high,No
SWZ,2030.0,EL3E,6838.1666721372,Current electrified,Top-down high,No
SWZ,2030.0,EL3U,673.055556094,New electrified,Top-down high,No
SWZ,2026.0,MOZEL1,299.5277780174,Exports (MOZ),Top-down high,No
SWZ,2026.0,ZAFEL1,10.0555555636,Exports (ZAF),Top-down high,No
SWZ,2027.0,MOZEL1,335.33333360160003,Exports (MOZ),Top-down high,No
SWZ,2027.0,ZAFEL1,11.250000009,Exports (ZAF),Top-down high,No
SWZ,2028.0,MOZEL1,1691.3611124642,Exports (MOZ),Top-down high,No
SWZ,2028.0,ZAFEL1,937.5833340834,Exports (ZAF),Top-down high,No
SWZ,2029.0,MOZEL1,578.0833337958001,Exports (MOZ),Top-down high,No
SWZ,2029.0,ZAFEL1,1867.2500014938,Exports (ZAF),Top-down high,No
SWZ,2030.0,ZAFEL1,2267.5000018140004,Exports (ZAF),Top-down high,No
SWZ,2020.0,EL3E,1985.1944460326,Current electrified,Top-down high,High
SWZ,2021.0,EL3E,2318.9166685218,Current electrified,Top-down high,High
SWZ,2021.0,EL3U,91.66666674,New electrified,Top-down high,High
SWZ,2022.0,EL3E,2691.8611132646,Current electrified,Top-down high,High
SWZ,2022.0,EL3U,183.33333348,New electrified,Top-down high,High
SWZ,2023.0,EL3E,3107.6666691528003,Current electrified,Top-down high,High
SWZ,2023.0,EL3U,275.00000022,New electrified,Top-down high,High
SWZ,2024.0,EL3E,3571.4444473016,Current electrified,Top-down high,High
SWZ,2024.0,EL3U,366.66666696,New electrified,Top-down high,High
SWZ,2025.0,EL3E,4010.3611143194,Current electrified,Top-down high,High
SWZ,2025.0,EL3U,458.3333337,New electrified,Top-down high,High
SWZ,2026.0,EL3E,4492.000003593601,Current electrified,Top-down high,High
SWZ,2026.0,EL3U,550.00000044,New electrified,Top-down high,High
SWZ,2027.0,EL3E,5018.888892904,Current electrified,Top-down high,High
SWZ,2027.0,EL3U,580.7500004646,New electrified,Top-down high,High
SWZ,2028.0,EL3E,5594.2222266976005,Current electrified,Top-down high,High
SWZ,2028.0,EL3U,611.5277782669999,New electrified,Top-down high,High
SWZ,2029.0,EL3E,6221.6944494218005,Current electrified,Top-down high,High
SWZ,2029.0,EL3U,642.3055560694,New electrified,Top-down high,High
SWZ,2030.0,EL3E,6838.1666721372,Current electrified,Top-down high,High
SWZ,2030.0,EL3U,673.055556094,New electrified,Top-down high,High
SWZ,2021.0,MOZEL1,1180.416667611,Exports (MOZ),Top-down high,High
SWZ,2021.0,ZAFEL1,12066.888898542402,Exports (ZAF),Top-down high,High
SWZ,2022.0,MOZEL1,897.1666673844001,Exports (MOZ),Top-down high,High
SWZ,2022.0,ZAFEL1,12066.888898542402,Exports (ZAF),Top-down high,High
SWZ,2023.0,MOZEL1,343.5277780526,Exports (MOZ),Top-down high,High
SWZ,2023.0,ZAFEL1,12066.888898542402,Exports (ZAF),Top-down high,High
SWZ,2024.0,MOZEL1,169.9722223582,Exports (MOZ),Top-down high,High
SWZ,2024.0,ZAFEL1,12066.888898542402,Exports (ZAF),Top-down high,High
