Country,y,f,Total annual demand (GWh),Demand type,Scenario,Carbon Price
SDN,2025.0,EGYEL1,5006.7500040054,Exports (EGY),Top-down low,No
SDN,2027.0,EGYEL1,4215.7222255948,Exports (EGY),Top-down low,No
SDN,2028.0,EGYEL1,12152.1944541662,Exports (EGY),Top-down low,No
SDN,2029.0,EGYEL1,16644.0000133152,Exports (EGY),Top-down low,No
SDN,2030.0,EGYEL1,19691.1389046418,Exports (EGY),Top-down low,No
SDN,2030.0,ETHEL1,153.88888901200002,Exports (ETH),Top-down low,No
SDN,2020.0,EL3E,10203.3055637182,Current electrified,Top-down low,High
SDN,2021.0,EL3E,12267.3888987028,Current electrified,Top-down low,High
SDN,2021.0,EL3U,826.3333339944,New electrified,Top-down low,High
SDN,2022.0,EL3E,13952.472233384202,Current electrified,Top-down low,High
SDN,2022.0,EL3U,1652.6944457666,New electrified,Top-down low,High
SDN,2023.0,EL3E,15629.500012503602,Current electrified,Top-down low,High
SDN,2023.0,EL3U,2479.027779761,New electrified,Top-down low,High
SDN,2024.0,EL3E,17299.166680505998,Current electrified,Top-down low,High
SDN,2024.0,EL3U,3305.3611137554003,New electrified,Top-down low,High
SDN,2025.0,EL3E,18962.416681836603,Current electrified,Top-down low,High
SDN,2025.0,EL3U,4131.7222255276,New electrified,Top-down low,High
SDN,2026.0,EL3E,20739.8055721474,Current electrified,Top-down low,High
SDN,2026.0,EL3U,4958.055559522,New electrified,Top-down low,High
SDN,2027.0,EL3E,22512.0000180096,Current electrified,Top-down low,High
SDN,2027.0,EL3U,5186.944448593999,New electrified,Top-down low,High
SDN,2028.0,EL3E,24279.027797201,Current electrified,Top-down low,High
SDN,2028.0,EL3U,5415.833337666,New electrified,Top-down low,High
SDN,2029.0,EL3E,26041.0277986106,Current electrified,Top-down low,High
SDN,2029.0,EL3U,5644.722226738,New electrified,Top-down low,High
SDN,2030.0,EL3E,27798.027800016203,Current electrified,Top-down low,High
SDN,2030.0,EL3U,5873.61111581,New electrified,Top-down low,High
SDN,2020.0,EGYEL1,2130.6666683712,Exports (EGY),Top-down low,High
SDN,2021.0,EGYEL1,16644.0000133152,Exports (EGY),Top-down low,High
SDN,2022.0,EGYEL1,12839.861121383,Exports (EGY),Top-down low,High
SDN,2023.0,EGYEL1,16644.0000133152,Exports (EGY),Top-down low,High
SDN,2024.0,EGYEL1,19454.2222377856,Exports (EGY),Top-down low,High
SDN,2025.0,EGYEL1,33288.0000266304,Exports (EGY),Top-down low,High
SDN,2026.0,EGYEL1,33288.0000266304,Exports (EGY),Top-down low,High
SDN,2027.0,EGYEL1,49932.0000399456,Exports (EGY),Top-down low,High
SDN,2028.0,EGYEL1,49932.0000399456,Exports (EGY),Top-down low,High
SDN,2029.0,EGYEL1,49932.0000399456,Exports (EGY),Top-down low,High
SDN,2030.0,EGYEL1,49932.0000399456,Exports (EGY),Top-down low,High
