Country,y,f,Total annual production (GWh),Source,Scenario,Carbon Price
GAB,2027.0,NGA,1576.5555568168002,Natural Gas,Bottom-up,No
GAB,2027.0,SOL,274.08333355260004,Solar,Bottom-up,No
GAB,2028.0,HFO,265.0833335454,Heavy Fuel Oil,Bottom-up,No
GAB,2028.0,HYD,2911.1666689956,Hydropower,Bottom-up,No
GAB,2028.0,LFO,81.3611111762,Light Fuel Oil,Bottom-up,No
GAB,2028.0,NGA,1567.8611123654002,Natural Gas,Bottom-up,No
GAB,2028.0,SOL,461.6944448138,Solar,Bottom-up,No
GAB,2029.0,HFO,312.5555558056,Heavy Fuel Oil,Bottom-up,No
GAB,2029.0,HYD,2913.472224553,Hydropower,Bottom-up,No
GAB,2029.0,LFO,74.583333393,Light Fuel Oil,Bottom-up,No
GAB,2029.0,NGA,1559.1666679139998,Natural Gas,Bottom-up,No
GAB,2029.0,SOL,518.5277781926001,Solar,Bottom-up,No
GAB,2030.0,HFO,270.3055557718,Heavy Fuel Oil,Bottom-up,No
GAB,2030.0,HYD,2913.472224553,Hydropower,Bottom-up,No
GAB,2030.0,LFO,67.80555560980001,Light Fuel Oil,Bottom-up,No
GAB,2030.0,NGA,1550.4722234626,Natural Gas,Bottom-up,No
GAB,2030.0,SOL,631.3888893940001,Solar,Bottom-up,No
GAB,2020.0,HFO,568.2777782324,Heavy Fuel Oil,Bottom-up,High
GAB,2020.0,HYD,1761.805556965,Hydropower,Bottom-up,High
GAB,2020.0,LFO,258.02777798420004,Light Fuel Oil,Bottom-up,High
GAB,2020.0,NGA,1142.222223136,Natural Gas,Bottom-up,High
GAB,2020.0,SOL,35.111111139200005,Solar,Bottom-up,High
GAB,2021.0,HFO,539.861111543,Heavy Fuel Oil,Bottom-up,High
GAB,2021.0,HYD,1761.805556965,Hydropower,Bottom-up,High
GAB,2021.0,LFO,246.6388890862,Light Fuel Oil,Bottom-up,High
GAB,2021.0,NGA,1320.5277788342,Natural Gas,Bottom-up,High
GAB,2021.0,SOL,35.055555583600004,Solar,Bottom-up,High
GAB,2022.0,HFO,511.4444448536,Heavy Fuel Oil,Bottom-up,High
GAB,2022.0,HYD,1761.805556965,Hydropower,Bottom-up,High
GAB,2022.0,LFO,244.2777779732,Light Fuel Oil,Bottom-up,High
GAB,2022.0,NGA,1617.2777790716002,Natural Gas,Bottom-up,High
GAB,2022.0,SOL,35.000000028,Solar,Bottom-up,High
GAB,2023.0,HFO,96.6111111884,Heavy Fuel Oil,Bottom-up,High
GAB,2023.0,HYD,4111.5555588448005,Hydropower,Bottom-up,High
GAB,2023.0,LFO,123.0000000984,Light Fuel Oil,Bottom-up,High
GAB,2023.0,NGA,147.8055556738,Natural Gas,Bottom-up,High
GAB,2023.0,SOL,34.972222250200005,Solar,Bottom-up,High
GAB,2024.0,HFO,90.9166667394,Heavy Fuel Oil,Bottom-up,High
GAB,2024.0,HYD,4362.9444479348,Hydropower,Bottom-up,High
GAB,2024.0,LFO,137.33333344320002,Light Fuel Oil,Bottom-up,High
GAB,2024.0,NGA,139.1111112224,Natural Gas,Bottom-up,High
GAB,2024.0,SOL,34.9166666946,Solar,Bottom-up,High
GAB,2025.0,HFO,85.25000006820001,Heavy Fuel Oil,Bottom-up,High
GAB,2025.0,HYD,4599.861114791001,Hydropower,Bottom-up,High
GAB,2025.0,LFO,159.61111123880002,Light Fuel Oil,Bottom-up,High
