tech_code,tech_name,colour
TZAELUGABP00,Tanzania - Uganda EL existing trade link,blueviolet
UGAELKENBP00,Uganda - Kenya EL existing and planned trade link,polarorange
UGAELTZABP00,Uganda - Tanzania EL existing and planned trade link,silver
UGAELRWABP00,Uganda - Rwanda EL existing trade link,tomato
ETHGADJIBP00,Ethiopia - Djibouti NG planned trade link,beige
TZAGAUGABP00,Tanzania - Uganda NG planned trade link,bisque
BWAELZAFBP00,Botswana - South Africa EL existing trade link,indianred
CODELZAFBP00,DRC - South Africa EL planned trade link,polarorange
CODELZMBBP00,DRC - Zambia EL existing trade link,silver
LSOELZAFBP00,Lesotho - South Africa EL existing trade link,tomato
MOZELZAFBP00,Mozambique - South Africa EL existing trade link,yellow
MOZELSWZBP00,Mozambique - Swaziland EL existing trade link,beige
MOZELZWEBP00,Mozambique - Zimbabwe EL existing trade link,burlywood
NAMELZAFBP00,Namibia - South Africa EL existing trade link,black
ZAFELSWZBP00,South Africa - Swaziland EL existing trade link,gray
ZAFELZWEBP00,South Africa - Zimbabwe EL existing trade link,orange
ZMBELZWEBP00,Zambia - Zimbabwe EL existing trade link,aqua
AGOELCODBP00,Angola - DRC EL planned trade link,polarbluelight
BWAELZMBBP00,Botswana - Zambia EL planned trade link,blueviolet
BWAELNAMBP00,Botswana - Namibia EL planned trade link,polarorange
BWAELZWEBP00,Botswana - Zimbabwe EL planned trade link,silver
MWIELMOZBP00,Malawi - Mozambique EL planned trade link,tomato
MWIELTZABP00,Malawi - Tanzania EL planned trade link,beige
NAMELZMBBP00,Namibia - Zambia EL planned trade link,bisque
NAMELZWEBP00,Namibia - Zimbabwe EL planned trade link,grey11
TZAELZMBBP00,Tanzania - Zambia EL planned trade link,grey13
ZMBELTZABP00,Zambia - Tanzania EL planned trade link,pinksalmon
BENELNERBP00,Benin - Niger EL planned trade link,polar
BENELGHABP00,Benin - Ghana EL planned trade link,polarbluelight
GHAELBENBP00,Ghana - Benin EL planned trade link,polardark
NERELBENBP00,Niger - Benin EL planned trade link,polardust
TGOELBENBP00,Togo - Benin EL existing trade link,polargreen
BFAELNERBP00,Burkina Faso - Niger EL planned trade link,polarpurple
CIVELBFABP00,Cote d´ Ivoire - Burkina Faso EL existing trade link,powderblue
GHAELBFABP00,Ghana - Burkina Faso EL planned trade link,red
NERELBFABP00,Niger - Burkina Faso EL existing and planned trade link,rosybrown
CIVELSLEBP00,Cote d´ Ivoire - Sierra Leone EL planned trade link,saddlebrown
CIVELGHABP00,Cote d´ Ivoire - Ghana EL planned trade link,sandybrown
CIVELLBRBP00,Cote d´ Ivoire - Liberia EL planned trade link,seagreen
GHAELCIVBP00,Ghana - Cote d´ Ivoire EL existing trade link,sienna
MLIELCIVBP00,Mali - Cote d´ Ivoire EL planned trade link,skyblue
GMBELGNBBP00,Gambia - Guinea Bissau EL planned trade link,slategray
GMBELSENBP00,Gambia - Senegal EL planned trade link,smurf
TGOELGHABP00,Togo - Ghana EL planned trade link,springgreen
GHAELTGOBP00,Ghana - Togo EL existing and planned trade link,tan
GHAELMLIBP00,Ghana - Mali EL planned trade link,thistle
GINELMLIBP00,Guinea - Mali EL planned trade link,turquoise
GINELSENBP00,Guinea - Senegal EL planned trade link,wheat
SENELMRTBP00,Senegal - Mauritania EL planned trade link,whitesmoke
NGAGABENBP00,Nigeria - Benin Historic NG trade link,lightsalmon
NGAGAGHABP00,Nigeria - Ghana Historic NG trade link,lightskyblue
NGAGANERBP00,Nigeria - Niger Historic NG trade link,lightslategrey
NGAGATGOBP00,Nigeria - Togo Historic NG trade link,lightteal
CMRELTCDBP00,Cameroon - Chad EL planned trade link,navy
CODELCOGBP00,DRC - Congo EL existing trade link,lightgreen
MOZGAZAFBP00,Mozambique - South Africa Historic NG trade link,polarbluelight
GEOTHERMAL,Geothermal,polarorange
CRUDREF,Crude oil Refinery,grey09
