r,t,y,AnnualFixedOperatingCost
REGION,AGOSOLPRP00X,2028,0.23104000000000002
REGION,AGOSOLPRP00X,2029,0.2114
REGION,AGOSOLPRP00X,2030,0.192
REGION,AGOSOLPRP00X,2031,1.1207856033556305
REGION,AGOSOLPRP00X,2032,17.542855631768933
REGION,AGOSOLPRP00X,2033,34.16014285323441
REGION,AGOSOLPRP00X,2034,50.95516242925738
REGION,AGOSOLPRP00X,2035,67.90719754336565
REGION,AGOSOLPRP00X,2036,77.15379025221316
REGION,AGOSOLPRP00X,2037,80.38934465302306
REGION,AGOSOLPRP00X,2038,83.64833232956184
REGION,AGOSOLPRP00X,2039,86.92943447960376
REGION,AGOSOLPRP00X,2040,90.23167464282844
REGION,AGOSOLPRSAL1,2040,0.0
REGION,AGOSOLPRSAL2,2040,0.0
REGION,AGOSOLPRSAL3,2040,0.0
REGION,AGOSOLPRSAL4,2040,0.0
REGION,AGOSOLPRSAL5,2040,0.0
REGION,AGOSOLPSP00X,2040,0.0
REGION,AGOSOLPUP00X,2040,0.0
REGION,AGOURNIMP00X,2040,0.0
REGION,AGOURNPRP00X,2040,0.0
REGION,AGOURNPWP01N,2040,0.0
REGION,AGOURNPWP01O,2040,0.0
REGION,AGOWINMGRID1,2040,0.0
REGION,AGOWINOFP00X,2040,0.0
REGION,AGOWINONP00X,2040,0.0
REGION,AGOWINPRP00X,2040,0.0
REGION,BDIBACKSTOP,2040,0.0
REGION,BDIBIOCHC01N,2040,0.0
REGION,BDIBIOCHP01N,2040,0.0
REGION,BDIBIOCHP01O,2040,0.0
REGION,BDIBIODIP00X,2040,0.0
REGION,BDIBIOEMP00X,2040,0.0
REGION,BDIBIOIMP00X,2040,0.0
REGION,BDIBIOPRP00X,2040,0.0
REGION,BDICO1DIP00X,2040,0.0
REGION,BDICO1IMP00X,2040,0.0
REGION,BDICO1PRP00X,2040,0.0
REGION,BDICO1R1P00X,2040,0.0
REGION,BDICO1R2P00X,2040,0.0
REGION,BDICO1RCP00X,2040,0.0
REGION,BDICOADIP00X,2040,0.0
REGION,BDICOAIMP00X,2040,0.0
REGION,BDICOAPRP00X,2040,0.0
REGION,BDICOASCC01N,2040,0.0
REGION,BDICOASCP01N,2040,0.0
REGION,BDICOASCP01O,2040,0.0
REGION,BDIEL1TRP00X,2040,0.0
REGION,BDIEL2DIP00X,2040,0.0
REGION,BDIEL3DIP00X,2040,0.0
REGION,BDIEL4DIP00X,2040,0.0
REGION,BDIELRWABP00,2040,0.0
REGION,BDIGEOCVP01N,2040,0.0
REGION,BDIGEOCVP01O,2040,0.0
REGION,BDIHFODIP00X,2040,0.0
REGION,BDIHFOGCP01N,2025,0.00047313116671278584
REGION,BDIHFOGCP01N,2026,0.00047313116671278584
REGION,BDIHFOGCP01N,2027,0.00047313116671278584
REGION,BDIHFOGCP01N,2028,0.00047313116671278584
REGION,BDIHFOGCP01N,2029,0.00047313116671278584
REGION,BDIHFOGCP01N,2030,0.00047313116671278584
REGION,BDIHFOGCP01N,2031,0.00047313116671278584
REGION,BDIHFOGCP01N,2032,0.00047313116671278584
REGION,BDIHFOGCP01N,2033,0.00047313116671278584
REGION,BDIHFOGCP01N,2034,0.00047313116671278584
REGION,BDIHFOGCP01N,2035,0.00047313116671278584
REGION,BDIHFOGCP01N,2036,0.00047313116671278584
REGION,BDIHFOGCP01N,2037,0.00047313116671278584
REGION,BDIHFOGCP01N,2038,0.00047313116671278584
REGION,BDIHFOGCP01N,2039,0.00047313116671278584
REGION,BDIHFOGCP01N,2040,0.00047313116671278584
REGION,BDIHFOGCP01O,2040,0.0
REGION,BDIHFOIMP00X,2040,0.0
REGION,BDIHYDLSP00X,2022,2.45
REGION,BDIHYDLSP00X,2023,2.45
REGION,BDIHYDLSP00X,2024,2.45
REGION,BDIHYDLSP00X,2025,2.45
REGION,BDIHYDLSP00X,2026,2.45
REGION,BDIHYDLSP00X,2027,2.45
REGION,BDIHYDLSP00X,2028,3.2792478664416302
REGION,BDIHYDLSP00X,2029,3.2792478664416302
REGION,BDIHYDLSP00X,2030,4.710719703964609
REGION,BDIHYDLSP00X,2031,5.88865676525684
REGION,BDIHYDLSP00X,2032,5.88865676525684
REGION,BDIHYDLSP00X,2033,6.962593345249383
REGION,BDIHYDLSP00X,2034,8.298056450695452
REGION,BDIHYDLSP00X,2035,8.298056450695452
REGION,BDIHYDLSP00X,2036,9.730222721289316
REGION,BDIHYDLSP00X,2037,9.730222721289316
REGION,BDIHYDLSP00X,2038,9.730222721289316
REGION,BDIHYDLSP00X,2039,9.730222721289316
REGION,BDIHYDLSP00X,2040,9.730222721289316
REGION,BDIHYDMGRID1,2040,0.0
REGION,BDIHYDMSP00X,2015,0.8289
REGION,BDIHYDMSP00X,2016,0.8289
REGION,BDIHYDMSP00X,2017,0.8289
REGION,BDIHYDMSP00X,2018,0.8289
REGION,BDIHYDMSP00X,2019,0.8289
REGION,BDIHYDMSP00X,2020,0.8289
REGION,BDIHYDMSP00X,2021,0.8289
REGION,BDIHYDMSP00X,2022,0.8289
REGION,BDIHYDMSP00X,2023,0.8289
REGION,BDIHYDMSP00X,2024,0.8289
REGION,BDIHYDMSP00X,2025,0.8289
REGION,BDIHYDMSP00X,2026,1.1038372858086742
REGION,BDIHYDMSP00X,2027,2.882691334117097
REGION,BDIHYDMSP00X,2028,3.7908577611278433
