r,t,f,y,UseByTechnologyAnnual
REGION,AGOEL1TRP00X,AGOEL1,2035.0,143.6119
REGION,AGOEL1TRP00X,AGOEL1,2036.0,150.8079
REGION,AGOEL1TRP00X,AGOEL1,2037.0,158.2225
REGION,AGOEL1TRP00X,AGOEL1,2038.0,165.8613
REGION,AGOEL1TRP00X,AGOEL1,2039.0,173.7306
REGION,AGOEL1TRP00X,AGOEL1,2040.0,181.838
REGION,AGOEL2DIP00X,AGOEL2,2015.0,32.0115
REGION,AGOEL2DIP00X,AGOEL2,2016.0,34.6515
REGION,AGOEL2DIP00X,AGOEL2,2017.0,35.7521
REGION,AGOEL2DIP00X,AGOEL2,2018.0,39.0351
REGION,AGOEL2DIP00X,AGOEL2,2019.0,42.8935
REGION,AGOEL2DIP00X,AGOEL2,2020.0,46.0813
REGION,AGOEL2DIP00X,AGOEL2,2021.0,45.1642
REGION,AGOEL2DIP00X,AGOEL2,2022.0,48.3967
REGION,AGOEL2DIP00X,AGOEL2,2023.0,51.7469
REGION,AGOEL2DIP00X,AGOEL2,2024.0,55.1964
REGION,AGOEL2DIP00X,AGOEL2,2025.0,58.7504
REGION,AGOEL2DIP00X,AGOEL2,2026.0,62.5794
REGION,AGOEL2DIP00X,AGOEL2,2027.0,66.5042
REGION,AGOEL2DIP00X,AGOEL2,2028.0,70.5452
REGION,AGOEL2DIP00X,AGOEL2,2029.0,74.6918
REGION,AGOEL2DIP00X,AGOEL2,2030.0,78.9487
REGION,AGOEL2DIP00X,AGOEL2,2031.0,80.6464
REGION,AGOEL2DIP00X,AGOEL2,2032.0,82.3888
REGION,AGOEL2DIP00X,AGOEL2,2033.0,84.1757
REGION,AGOEL2DIP00X,AGOEL2,2034.0,86.0061
REGION,AGOEL2DIP00X,AGOEL2,2035.0,89.4749
REGION,AGOEL2DIP00X,AGOEL2,2036.0,94.0078
REGION,AGOEL2DIP00X,AGOEL2,2037.0,98.6351
REGION,AGOEL2DIP00X,AGOEL2,2038.0,103.3565
REGION,AGOEL2DIP00X,AGOEL2,2039.0,108.1724
REGION,AGOEL2DIP00X,AGOEL2,2040.0,113.0837
REGION,AGOEL3DIP00X,AGOEL2,2021.0,5.1664
REGION,AGOEL3DIP00X,AGOEL2,2022.0,10.311
REGION,AGOEL3DIP00X,AGOEL2,2023.0,15.4339
REGION,AGOEL3DIP00X,AGOEL2,2024.0,20.5353
REGION,AGOEL3DIP00X,AGOEL2,2025.0,25.6152
REGION,AGOEL3DIP00X,AGOEL2,2026.0,30.6738
REGION,AGOEL3DIP00X,AGOEL2,2027.0,32.2553
REGION,AGOEL3DIP00X,AGOEL2,2028.0,33.8302
REGION,AGOEL3DIP00X,AGOEL2,2029.0,35.3985
REGION,AGOEL3DIP00X,AGOEL2,2030.0,36.9602
REGION,AGOEL3DIP00X,AGOEL2,2031.0,38.7724
REGION,AGOEL3DIP00X,AGOEL2,2032.0,40.6737
REGION,AGOEL3DIP00X,AGOEL2,2033.0,42.6683
REGION,AGOEL3DIP00X,AGOEL2,2034.0,44.7609
REGION,AGOEL3DIP00X,AGOEL2,2035.0,46.9564
REGION,AGOEL3DIP00X,AGOEL2,2036.0,49.2598
REGION,AGOEL3DIP00X,AGOEL2,2037.0,51.6763
REGION,AGOEL3DIP00X,AGOEL2,2038.0,54.2117
REGION,AGOEL3DIP00X,AGOEL2,2039.0,56.8717
REGION,AGOEL3DIP00X,AGOEL2,2040.0,59.6624
REGION,AGOEL4DIP00X,AGOEL3,2040.0,0.0
REGION,AGOELCODBP00,AGOEL1,2019.0,8.8213
REGION,AGOELCODBP00,AGOEL1,2020.0,3.9227
