r,t,y,NewCapacity
REGION,AGOEL3DIP00X,2040,0.10042845781482002
REGION,AGOEL4DIP00X,2040,0.0
REGION,AGOELCODBP00,2019,0.2797221849847329
REGION,AGOELCODBP00,2020,0.049458430898113685
REGION,AGOELCODBP00,2023,0.02509577756942256
REGION,AGOELCODBP00,2024,0.18423925885126702
REGION,AGOELCODBP00,2040,0.0
REGION,AGOGEOCVP01N,2040,0.0
REGION,AGOGEOCVP01O,2040,0.0
REGION,AGOHFODIP00X,2015,99999.0
REGION,AGOHFODIP00X,2016,99999.0
REGION,AGOHFODIP00X,2017,99999.0
REGION,AGOHFODIP00X,2018,99999.0
REGION,AGOHFODIP00X,2019,99999.0
REGION,AGOHFODIP00X,2020,99999.0
REGION,AGOHFODIP00X,2021,99999.0
REGION,AGOHFODIP00X,2022,99999.0
REGION,AGOHFODIP00X,2023,99999.0
REGION,AGOHFODIP00X,2024,99999.0
REGION,AGOHFODIP00X,2025,99999.0
REGION,AGOHFODIP00X,2026,99999.0
REGION,AGOHFODIP00X,2027,99999.0
REGION,AGOHFODIP00X,2028,99999.0
REGION,AGOHFODIP00X,2029,99999.0
REGION,AGOHFODIP00X,2030,99999.0
REGION,AGOHFODIP00X,2031,99999.0
REGION,AGOHFODIP00X,2032,99999.0
REGION,AGOHFODIP00X,2033,99999.0
REGION,AGOHFODIP00X,2034,99999.0
REGION,AGOHFODIP00X,2035,99999.0
REGION,AGOHFODIP00X,2036,99999.0
REGION,AGOHFODIP00X,2037,99999.0
REGION,AGOHFODIP00X,2038,99999.0
REGION,AGOHFODIP00X,2039,99999.0
REGION,AGOHFODIP00X,2040,99999.0
REGION,AGOHFOEMP00X,2015,99999.0
REGION,AGOHFOEMP00X,2016,99999.0
REGION,AGOHFOEMP00X,2017,99999.0
REGION,AGOHFOEMP00X,2018,99999.0
REGION,AGOHFOEMP00X,2019,99999.0
REGION,AGOHFOEMP00X,2020,99999.0
REGION,AGOHFOEMP00X,2021,99999.0
REGION,AGOHFOEMP00X,2022,99999.0
REGION,AGOHFOEMP00X,2023,99999.0
REGION,AGOHFOEMP00X,2024,99999.0
REGION,AGOHFOEMP00X,2025,99999.0
REGION,AGOHFOEMP00X,2026,99999.0
REGION,AGOHFOEMP00X,2027,99999.0
REGION,AGOHFOEMP00X,2028,99999.0
REGION,AGOHFOEMP00X,2029,99999.0
REGION,AGOHFOEMP00X,2030,99999.0
REGION,AGOHFOEMP00X,2031,99999.0
REGION,AGOHFOEMP00X,2032,99999.0
REGION,AGOHFOEMP00X,2033,99999.0
REGION,AGOHFOEMP00X,2034,99999.0
REGION,AGOHFOEMP00X,2035,99999.0
REGION,AGOHFOEMP00X,2036,99999.0
REGION,AGOHFOEMP00X,2037,99999.0
REGION,AGOHFOEMP00X,2038,99999.0
REGION,AGOHFOEMP00X,2039,99999.0
REGION,AGOHFOEMP00X,2040,99999.0
REGION,AGOHFOGCP01N,2040,0.0
REGION,AGOHFOGCP01O,2040,0.0
REGION,AGOHFOIMP00X,2015,99999.0
REGION,AGOHFOIMP00X,2016,99999.0
REGION,AGOHFOIMP00X,2017,99999.0
REGION,AGOHFOIMP00X,2018,99999.0
REGION,AGOHFOIMP00X,2019,99999.0
REGION,AGOHFOIMP00X,2020,99999.0
REGION,AGOHFOIMP00X,2021,99999.0
REGION,AGOHFOIMP00X,2022,99999.0
REGION,AGOHFOIMP00X,2023,99999.0
REGION,AGOHFOIMP00X,2024,99999.0
REGION,AGOHFOIMP00X,2025,99999.0
REGION,AGOHFOIMP00X,2026,99999.0
REGION,AGOHFOIMP00X,2027,99999.0
REGION,AGOHFOIMP00X,2028,99999.0
REGION,AGOHFOIMP00X,2029,99999.0
REGION,AGOHFOIMP00X,2030,99999.0
REGION,AGOHFOIMP00X,2031,99999.0
REGION,AGOHFOIMP00X,2032,99999.0
REGION,AGOHFOIMP00X,2033,99999.0
REGION,AGOHFOIMP00X,2034,99999.0
REGION,AGOHFOIMP00X,2035,99999.0
REGION,AGOHFOIMP00X,2036,99999.0
REGION,AGOHFOIMP00X,2037,99999.0
REGION,AGOHFOIMP00X,2038,99999.0
REGION,AGOHFOIMP00X,2039,99999.0
REGION,AGOHFOIMP00X,2040,99999.0
REGION,AGOHYDLSP00X,2017,2.39
REGION,AGOHYDLSP00X,2018,0.35
REGION,AGOHYDLSP00X,2024,2.17
REGION,AGOHYDLSP00X,2040,0.0
REGION,AGOHYDMGRID1,2040,0.0
REGION,AGOHYDMSP00X,2016,0.12686
REGION,AGOHYDMSP00X,2040,0.0
REGION,AGOHYDSSP00X,2018,0.0216
REGION,AGOHYDSSP00X,2040,0.0
REGION,AGOLFODIP00X,2015,99999.0
REGION,AGOLFODIP00X,2016,99999.0
REGION,AGOLFODIP00X,2017,99999.0
REGION,AGOLFODIP00X,2018,99999.0
REGION,AGOLFODIP00X,2019,99999.0
REGION,AGOLFODIP00X,2020,99999.0
REGION,AGOLFODIP00X,2021,99999.0
REGION,AGOLFODIP00X,2022,99999.0
REGION,AGOLFODIP00X,2023,99999.0
REGION,AGOLFODIP00X,2024,99999.0
REGION,AGOLFODIP00X,2025,99999.0
REGION,AGOLFODIP00X,2026,99999.0
REGION,AGOLFODIP00X,2027,99999.0
REGION,AGOLFODIP00X,2028,99999.0
REGION,AGOLFODIP00X,2029,99999.0
REGION,AGOLFODIP00X,2030,99999.0
REGION,AGOLFODIP00X,2031,99999.0
REGION,AGOLFODIP00X,2032,99999.0
REGION,AGOLFODIP00X,2033,99999.0
REGION,AGOLFODIP00X,2034,99999.0
REGION,AGOLFODIP00X,2035,99999.0
REGION,AGOLFODIP00X,2036,99999.0
REGION,AGOLFODIP00X,2037,99999.0
REGION,AGOLFODIP00X,2038,99999.0
REGION,AGOLFODIP00X,2039,99999.0
REGION,AGOLFODIP00X,2040,99999.0
REGION,AGOLFOEMP00X,2015,99999.0
REGION,AGOLFOEMP00X,2016,99999.0
REGION,AGOLFOEMP00X,2017,99999.0
REGION,AGOLFOEMP00X,2018,99999.0
REGION,AGOLFOEMP00X,2019,99999.0
REGION,AGOLFOEMP00X,2020,99999.0
REGION,AGOLFOEMP00X,2021,99999.0
REGION,AGOLFOEMP00X,2022,99999.0
REGION,AGOLFOEMP00X,2023,99999.0
REGION,AGOLFOEMP00X,2024,99999.0
REGION,AGOLFOEMP00X,2025,99999.0
REGION,AGOLFOEMP00X,2026,99999.0
REGION,AGOLFOEMP00X,2027,99999.0
REGION,AGOLFOEMP00X,2028,99999.0
REGION,AGOLFOEMP00X,2029,99999.0
REGION,AGOLFOEMP00X,2030,99999.0
REGION,AGOLFOEMP00X,2031,99999.0
REGION,AGOLFOEMP00X,2032,99999.0
REGION,AGOLFOEMP00X,2033,99999.0
REGION,AGOLFOEMP00X,2034,99999.0
REGION,AGOLFOEMP00X,2035,99999.0
REGION,AGOLFOEMP00X,2036,99999.0
REGION,AGOLFOEMP00X,2037,99999.0
REGION,AGOLFOEMP00X,2038,99999.0
REGION,AGOLFOEMP00X,2039,99999.0
REGION,AGOLFOEMP00X,2040,99999.0
REGION,AGOLFOIMP00X,2015,99999.0
REGION,AGOLFOIMP00X,2016,99999.0
REGION,AGOLFOIMP00X,2017,99999.0
REGION,AGOLFOIMP00X,2018,99999.0
REGION,AGOLFOIMP00X,2019,99999.0
REGION,AGOLFOIMP00X,2020,99999.0
REGION,AGOLFOIMP00X,2021,99999.0
REGION,AGOLFOIMP00X,2022,99999.0
REGION,AGOLFOIMP00X,2023,99999.0
REGION,AGOLFOIMP00X,2024,99999.0
REGION,AGOLFOIMP00X,2025,99999.0
REGION,AGOLFOIMP00X,2026,99999.0
REGION,AGOLFOIMP00X,2027,99999.0
REGION,AGOLFOIMP00X,2028,99999.0
REGION,AGOLFOIMP00X,2029,99999.0
REGION,AGOLFOIMP00X,2030,99999.0
REGION,AGOLFOIMP00X,2031,99999.0
REGION,AGOLFOIMP00X,2032,99999.0
REGION,AGOLFOIMP00X,2033,99999.0
REGION,AGOLFOIMP00X,2034,99999.0
REGION,AGOLFOIMP00X,2035,99999.0
REGION,AGOLFOIMP00X,2036,99999.0
REGION,AGOLFOIMP00X,2037,99999.0
REGION,AGOLFOIMP00X,2038,99999.0
REGION,AGOLFOIMP00X,2039,99999.0
REGION,AGOLFOIMP00X,2040,99999.0
REGION,AGOLFOMGRID1,2040,0.0
REGION,AGOLFORCP00X,2016,0.00494420740635694
REGION,AGOLFORCP00X,2018,0.0019321828414839565
REGION,AGOLFORCP00X,2040,0.0
REGION,AGOLFORCP01N,2017,0.0196
REGION,AGOLFORCP01N,2040,0.0
REGION,AGOLFORCP01O,2040,0.0
REGION,AGOLFOSALON1,2040,0.0
REGION,AGOLNGEXP00X,2039,229.9999999999998
REGION,AGOLNGEXP00X,2040,0.0
REGION,AGOLNGIMP00X,2040,0.0
REGION,AGONGACCC01N,2040,0.0
REGION,AGONGACCP01N,2017,0.23
REGION,AGONGACCP01N,2018,0.52
REGION,AGONGACCP01N,2029,0.46591830546705465
REGION,AGONGACCP01N,2030,0.44763890137459406
REGION,AGONGACCP01N,2032,0.057482731476133864
REGION,AGONGACCP01N,2035,0.20576190914324063
REGION,AGONGACCP01N,2036,0.19241178931204644
REGION,AGONGACCP01N,2037,0.15824582621557715
REGION,AGONGACCP01N,2038,0.2441063567693177
REGION,AGONGACCP01N,2039,0.3296033694352791
REGION,AGONGACCP01N,2040,0.33821453388474654
REGION,AGONGACCP01O,2040,0.0
REGION,AGONGADIP00X,2015,99999.0
REGION,AGONGADIP00X,2016,99999.0
REGION,AGONGADIP00X,2017,99999.0
REGION,AGONGADIP00X,2018,99999.0
REGION,AGONGADIP00X,2019,99999.0
REGION,AGONGADIP00X,2020,99999.0
REGION,AGONGADIP00X,2021,99999.0
REGION,AGONGADIP00X,2022,99999.0
REGION,AGONGADIP00X,2023,99999.0
REGION,AGONGADIP00X,2024,99999.0
REGION,AGONGADIP00X,2025,99999.0
REGION,AGONGADIP00X,2026,99999.0
REGION,AGONGADIP00X,2027,99999.0
REGION,AGONGADIP00X,2028,99999.0
REGION,AGONGADIP00X,2029,99999.0
REGION,AGONGADIP00X,2030,99999.0
REGION,AGONGADIP00X,2031,99999.0
REGION,AGONGADIP00X,2032,99999.0
REGION,AGONGADIP00X,2033,99999.0
REGION,AGONGADIP00X,2034,99999.0
REGION,AGONGADIP00X,2035,99999.0
REGION,AGONGADIP00X,2036,99999.0
REGION,AGONGADIP00X,2037,99999.0
REGION,AGONGADIP00X,2038,99999.0
REGION,AGONGADIP00X,2039,99999.0
REGION,AGONGADIP00X,2040,99999.0
REGION,AGONGAGCP01N,2040,0.0
REGION,AGONGAGCP01O,2040,0.0
REGION,AGONGAPRP00X,2015,99999.0
REGION,AGONGAPRP00X,2016,99999.0
REGION,AGONGAPRP00X,2017,99999.0
REGION,AGONGAPRP00X,2018,99999.0
REGION,AGONGAPRP00X,2019,99999.0
REGION,AGONGAPRP00X,2020,99999.0
REGION,AGONGAPRP00X,2021,99999.0
REGION,AGONGAPRP00X,2022,99999.0
