r,t,y,AnnualVariableOperatingCost
REGION,AGOLNGEXP00X,2022,-2771.1008337466465
REGION,AGOLNGEXP00X,2023,-2782.2297527576807
REGION,AGOLNGEXP00X,2024,-2793.358671768715
REGION,AGOLNGEXP00X,2025,-2383.74947215127
REGION,AGOLNGEXP00X,2026,-2378.073878169954
REGION,AGOLNGEXP00X,2027,-2372.398284188644
REGION,AGOLNGEXP00X,2028,-2366.7226902073303
REGION,AGOLNGEXP00X,2029,-2361.0470962260206
REGION,AGOLNGEXP00X,2030,-2355.371502244704
REGION,AGOLNGEXP00X,2031,-2366.7226902073303
REGION,AGOLNGEXP00X,2032,-2378.073878169954
REGION,AGOLNGEXP00X,2033,-2389.4250661325864
REGION,AGOLNGEXP00X,2034,-2400.77625409521
REGION,AGOLNGEXP00X,2035,-2412.1274420578366
REGION,AGOLNGEXP00X,2036,-2429.1542240017675
REGION,AGOLNGEXP00X,2037,-2446.181005945707
REGION,AGOLNGEXP00X,2038,-2463.2077878896407
REGION,AGOLNGEXP00X,2039,-2480.234569833586
REGION,AGOLNGEXP00X,2040,-2497.2613517775217
REGION,AGOLNGIMP00X,2040,0.0
REGION,AGONGACCC01N,2040,0.0
REGION,AGONGACCP01N,2027,0.00011746668591073822
REGION,AGONGACCP01N,2028,0.00012792964184467066
REGION,AGONGACCP01N,2029,0.00021114315050677876
REGION,AGONGACCP01N,2030,0.00024974063929936933
REGION,AGONGACCP01N,2031,0.0003259744262022535
REGION,AGONGACCP01N,2032,0.0003274085111743678
REGION,AGONGACCP01N,2033,0.00031111342877640415
REGION,AGONGACCP01N,2034,0.0003217935253108758
REGION,AGONGACCP01N,2035,0.0003749392260538924
REGION,AGONGACCP01N,2036,0.0004408889795287463
REGION,AGONGACCP01N,2037,0.0004973534304982831
REGION,AGONGACCP01N,2038,0.0006075361344214819
REGION,AGONGACCP01N,2039,0.000677377440218624
REGION,AGONGACCP01N,2040,0.0007582713525935128
REGION,AGONGACCP01O,2040,0.0
REGION,AGONGADIP00X,2015,0.000263340007
REGION,AGONGADIP00X,2016,0.000246536997
REGION,AGONGADIP00X,2017,0.000139773932
REGION,AGONGADIP00X,2018,0.00013561045200000002
REGION,AGONGADIP00X,2019,0.00014121849840320803
REGION,AGONGADIP00X,2020,0.000147058460444161
REGION,AGONGADIP00X,2021,0.00015313992878227402
REGION,AGONGADIP00X,2022,0.000159472890689922
REGION,AGONGADIP00X,2023,0.00016606774645401
REGION,AGONGADIP00X,2024,0.000172935326455809
REGION,AGONGADIP00X,2025,0.00018008690895712
REGION,AGONGADIP00X,2026,0.000187534238621959
REGION,AGONGADIP00X,2027,0.00019528954580419702
REGION,AGONGADIP00X,2028,0.000203365566632823
REGION,AGONGADIP00X,2029,0.00021177556392780702
REGION,AGONGADIP00X,2030,0.000220533348980928
REGION,AGONGADIP00X,2031,0.000229653304237326
REGION,AGONGADIP00X,2032,0.000239150406915023
REGION,AGONGADIP00X,2033,0.000249040253601217
REGION,AGONGADIP00X,2034,0.000259339085865726
REGION,AGONGADIP00X,2035,0.00027006381693365605
REGION,AGONGADIP00X,2036,0.000281232059461093
REGION,AGONGADIP00X,2037,0.00029286215445943105
REGION,AGONGADIP00X,2038,0.00030497320141584006
