r,t,y,CapitalInvestment
REGION,BDIEL3DIP00X,2039,20.449252007182768
REGION,BDIEL3DIP00X,2040,21.365575481651547
REGION,BDIEL4DIP00X,2040,0.0
REGION,BDIELRWABP00,2040,0.0
REGION,BDIGEOCVP01N,2025,404.7454656
REGION,BDIGEOCVP01N,2040,0.0
REGION,BDIGEOCVP01O,2040,0.0
REGION,BDIHFODIP00X,2040,0.0
REGION,BDIHFOGCP01N,2025,0.014226872332359385
REGION,BDIHFOGCP01N,2040,0.0
REGION,BDIHFOGCP01O,2040,0.0
REGION,BDIHFOIMP00X,2040,0.0
REGION,BDIHYDLSP00X,2022,139.994313984
REGION,BDIHYDLSP00X,2040,0.0
REGION,BDIHYDMGRID1,2040,0.0
REGION,BDIHYDMSP00X,2040,0.0
REGION,BDIHYDSSP00X,2016,46.69198110719999
REGION,BDIHYDSSP00X,2017,53.875362816
REGION,BDIHYDSSP00X,2040,0.0
REGION,BDILFODIP00X,2040,0.0
REGION,BDILFOIMP00X,2040,0.0
REGION,BDILFOMGRID1,2040,0.0
REGION,BDILFORCP00X,2016,0.0022255306234124305
REGION,BDILFORCP00X,2017,0.22347923564270059
REGION,BDILFORCP00X,2018,0.09968109447702259
REGION,BDILFORCP00X,2040,0.0
REGION,BDILFORCP01N,2040,0.0
REGION,BDILFORCP01O,2040,0.0
REGION,BDILFOSALON1,2040,0.0
REGION,BDILNGEXP00X,2040,0.0
REGION,BDILNGIMP00X,2040,0.0
REGION,BDINGACCC01N,2040,0.0
REGION,BDINGACCP01N,2040,0.0
REGION,BDINGACCP01O,2040,0.0
REGION,BDINGADIP00X,2040,0.0
REGION,BDINGAGCP01N,2040,0.0
REGION,BDINGAGCP01O,2040,0.0
REGION,BDINGAPRP00X,2040,0.0
REGION,BDINGGCP01N,2040,0.0
REGION,BDINGGCP01O,2040,0.0
REGION,BDISOLARP00X,2040,0.0
REGION,BDISOLCNP01X,2040,0.0
REGION,BDISOLCSP01X,2040,0.0
REGION,BDISOLMGRID1,2040,0.0
REGION,BDISOLPRP00X,2016,2.376
REGION,BDISOLPRP00X,2017,2.376
REGION,BDISOLPRP00X,2030,17.543652803671748
REGION,BDISOLPRP00X,2031,17.323455099477574
REGION,BDISOLPRP00X,2032,17.122008047932468
REGION,BDISOLPRP00X,2033,16.934811476841013
REGION,BDISOLPRP00X,2034,16.762382846483714
REGION,BDISOLPRP00X,2035,19.649664354052316
REGION,BDISOLPRP00X,2036,22.293639955537703
REGION,BDISOLPRP00X,2037,21.964141032743083
REGION,BDISOLPRP00X,2038,20.361351194065968
REGION,BDISOLPRP00X,2039,20.05134497094716
REGION,BDISOLPRP00X,2040,22.910000402003963
REGION,BDISOLPRSAL1,2040,0.0
REGION,BDISOLPRSAL2,2040,0.0
REGION,BDISOLPRSAL3,2040,0.0
REGION,BDISOLPRSAL4,2040,0.0
REGION,BDISOLPRSAL5,2040,0.0
REGION,BDISOLPSP00X,2040,0.0
REGION,BDISOLPUP00X,2038,21.53012459318735
REGION,BDISOLPUP00X,2039,36.02624038081043
REGION,BDISOLPUP00X,2040,36.73125847562094
REGION,BDIURNIMP00X,2040,0.0
REGION,BDIURNPRP00X,2040,0.0
REGION,BDIURNPWP01N,2040,0.0
REGION,BDIURNPWP01O,2040,0.0
REGION,BDIWINMGRID1,2040,0.0
REGION,BDIWINOFP00X,2040,0.0
REGION,BDIWINONP00X,2040,0.0
REGION,BDIWINPRP00X,2040,0.0
REGION,BENBACKSTOP,2040,0.0
REGION,BENBIOCHC01N,2040,0.0
REGION,BENBIOCHP01N,2040,0.0
REGION,BENBIOCHP01O,2040,0.0
REGION,BENBIODIP00X,2040,0.0
REGION,BENBIOIMP00X,2040,0.0
REGION,BENBIOPRP00X,2040,0.0
REGION,BENCO1DIP00X,2040,0.0
REGION,BENCO1IMP00X,2040,0.0
REGION,BENCO1PRP00X,2040,0.0
REGION,BENCO1R1P00X,2040,0.0
REGION,BENCO1R2P00X,2040,0.0
REGION,BENCO1RCP00X,2040,0.0
REGION,BENCOADIP00X,2040,0.0
REGION,BENCOAIMP00X,2040,0.0
REGION,BENCOAPRP00X,2040,0.0
REGION,BENCOASCC01N,2040,0.0
REGION,BENCOASCP01N,2040,0.0
REGION,BENCOASCP01O,2040,0.0
REGION,BENEL1TRP00X,2015,61.73272825759628
REGION,BENEL1TRP00X,2017,4.661883679405365
REGION,BENEL1TRP00X,2018,5.146094752238005
REGION,BENEL1TRP00X,2019,6.101113151681146
REGION,BENEL1TRP00X,2020,0.06529951883708474
REGION,BENEL1TRP00X,2021,27.22143255269154
REGION,BENEL1TRP00X,2022,27.13447497075273
REGION,BENEL1TRP00X,2023,27.069534023200784
REGION,BENEL1TRP00X,2024,27.004821419566415
REGION,BENEL1TRP00X,2025,28.015554901894898
REGION,BENEL1TRP00X,2026,29.211832312887623
REGION,BENEL1TRP00X,2027,12.176184806255236
REGION,BENEL1TRP00X,2028,11.740001827598302
REGION,BENEL1TRP00X,2029,8.106138783180095
REGION,BENEL1TRP00X,2030,6.195637008034388
REGION,BENEL1TRP00X,2031,6.848166189431221
REGION,BENEL1TRP00X,2032,7.577203668196953
REGION,BENEL1TRP00X,2033,7.890133731399028
REGION,BENEL1TRP00X,2034,10.809204056195007
REGION,BENEL1TRP00X,2035,12.691057720323057
REGION,BENEL1TRP00X,2036,13.979614544360619
REGION,BENEL1TRP00X,2037,14.334590129115632
REGION,BENEL1TRP00X,2038,14.704834171533534
REGION,BENEL1TRP00X,2039,15.090978789564828
REGION,BENEL1TRP00X,2040,15.493678963651451
REGION,BENEL2DIP00X,2015,402.0069090287139
REGION,BENEL2DIP00X,2017,30.358441965968815
